Workshop Name,Workshop Date,Workshop Price,Workshop Units,Workshop Studio,Workshop Address,URL_E
 Twerk Workshop,Dez27Mittwoch,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/M30W71E
Heels & Floor Choreo Workshop ,Dez29Freitag,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/wubqc-C
Lap Dance Workshop,Dez29Freitag,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/31_KlmJ
Pole Flow Choreo Workshop,Dez30Samstag,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/Ez2MjvT
Split Stretch Workshop ,Jan04Donnerstag,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/iCVLDew
Aerial Tuch Choreo Workshop,Jan05Freitag,"ab 25,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/x4fkntp
Seamless Flow Magic,Jan20Samstag,"ab 65,00 €",1 Einheit,Glow Sports Club,"Industriepark 201, 78244 Gottmadingen",https://www.eversports.de/e/workshop/jYJdZP9
Spagat,Feb05bis Feb 26,Ausgebucht,4 Einheiten,Luftbonbon,"Königstraße 45, 32547 Bad Oeynhausen",https://www.eversports.de/e/workshop/60kU5cU
  Pole Dance Anfänger 2 Kurs ,Jan06bis Jan 07,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/aoGlI5F
Burlesque Anfängerworkshop,Jan06bis Jan 07,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/a5FO1V5
Burlesque Mittelstufenworkshop mit Lady Lou,Jan06bis Jan 07,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/xKRFUU1
  Pole Dance Anfänger 1 Kurs ,Jan06bis Jan 07,"ab 85,00 €",2 Einheiten,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/b-VEJXN
  Bedroom Burlesque mit Lady Lou THEMA: tba.,Jan20Samstag,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/5gDDDJn
 Twerk Mixed,Jan21Sonntag,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/beqc_HP
  Twerk Mixed ONLINE,Jan21Sonntag,"ab 25,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/B6kPsjv
Tag der offenen Tür - Schnuppertease Special,Jan21Sonntag,"ab 20,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/d3WnfW0
  Twerk Basics Online,Jan28Sonntag,"ab 25,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/eTjnNEG
  Twerk Basics,Jan28Sonntag,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/GGeNmMh
Sensual Pole Dance mit Becky* ONLINE,Jan28Sonntag,"ab 40,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/DGpS6cv
Sensual Pole Dance mit Becky*,Jan28Sonntag,"ab 55,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/OCn8iAw
Pole on Heels mit Becky* ONLINE,Jan28Sonntag,"ab 25,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/CbbUEIN
Pole on Heels mit Becky*,Jan28Sonntag,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/aHz4uNe
  Fortgeschrittenen-Special: Pole Dance-Workshop mit Becky*,Jan28Sonntag,"ab 35,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/4gnxET4
 Fortgeschrittenen-Special: Pole Dance-Workshop mit Becky* ONLINE,Jan28Sonntag,"ab 25,00 €",1 Einheit,Schönheitstanz Studio,"Charitestraße 4, 10117 Berlin",https://www.eversports.de/e/workshop/1jGKU-B
